user_id,genres,year,Horas jugadas
_3vX,Action,2000,42499
_3vX,Action,2004,51399
_3vX,Action,2009,330
_3vX,Action,2010,0
_3vX,Action,2011,1211
_3vX,Action,2012,50003
_3vX,Action,2014,592
_3vX,Action-Adventure,2011,0
_3vX,Action-Adventure-Casual-Free to Play-Massively Multiplayer-RPG,2014,121
_3vX,Action-Free to Play,2013,98
_3vX,Action-Free to Play-Indie-Massively Multiplayer,2016,0
_3vX,Action-Free to Play-Massively Multiplayer,2014,0
_3vX,Action-Indie,2010,54
_3vX,Action-Indie-Racing-Sports,2015,0
_3vX,Action-RPG,2011,156
_3vX,Casual,2011,0
_3vX,Casual-Strategy,2002,0
_3vX,Racing,2010,1341
_3vX,Sports,2015,2155
_3vX,Sports,2016,0
_3vX,Sports-Strategy,2011,0
_3vX,Strategy,1995,0
_3vX,Strategy,1999,0
_3vX,Strategy,2010,0
_3vX,Strategy,2011,0
_3vX,Strategy,2012,189
_987phix321_,Action-Free to Play-Massively Multiplayer-Simulation,2013,0
_Jake_2014_,Action,2014,10
_Jake_2014_,Action-Adventure-Casual-Free to Play-Indie,2017,12967
_Jake_2014_,Adventure,2013,13587
_Jake_2014_,Adventure,2016,1018
_Jake_2014_,Indie-RPG-Strategy,2014,842
_jarl_,Action,2004,20
_jarl_,Action,2006,5
_jarl_,Action,2007,0
_jarl_,Action,2008,25
_jarl_,Action,2010,877
_jarl_,Action,2011,1020
_jarl_,Action,2012,140
_jarl_,Action-Adventure,2011,933
_jarl_,Action-Adventure-Indie-RPG,2012,153
_jarl_,Action-Adventure-RPG,2014,139
_jarl_,Action-Indie-RPG,2013,0
_jarl_,Action-Indie-Strategy,2012,0
_jarl_,Adventure-Strategy,2011,113
_jarl_,RPG,2009,0
_Minja,Action,2004,0
_Minja,Action,2009,29
_Minja,Action,2010,0
_Minja,Action,2011,58
_Minja,Action,2012,33143
_Minja,Action,2017,0
_Minja,Action-Adventure,2003,0
_Minja,Action-Adventure-Casual-Free to Play-Indie,2017,18
_Minja,Action-Adventure-Indie,2013,0
_Minja,Action-Adventure-Indie-Simulation,2012,8
_Minja,Action-Casual-Indie,2014,0
_Minja,Action-Free to Play,2012,3859
_Minja,Action-Free to Play,2013,84
_Minja,Action-Free to Play-Indie,2014,123
_Minja,Action-Free to Play-Indie-Massively Multiplayer-RPG-Simulation,2017,0
_Minja,Action-Free to Play-Indie-Strategy,2006,1
_Minja,Action-Free to Play-Indie-Strategy-Early Access,2012,0
_Minja,Action-Free to Play-Massively Multiplayer,2012,6279
_Minja,Action-Free to Play-Massively Multiplayer-RPG,2012,0
_Minja,Action-Free to Play-RPG-Strategy,2015,0
_Minja,Action-Indie,2011,46
_Minja,Action-Indie,2012,0
_Minja,Action-Indie,2013,0
_Minja,Action-Indie,2014,0
_Minja,Action-Indie,2016,0
_Minja,Action-Indie-Early Access,2016,0
_Minja,Action-Indie-Simulation,2013,0
_Minja,Action-Indie-Simulation,2014,0
