user_id,Dinero gastado,Cantidad de items,% de recomendación
wermztv,"94,89",400,"33,33 %"
kayrom,"264,91",225,"40,00 %"
76561198193227423,"199,94",400,"44,44 %"
1546328127418,"329,88",729,"50,00 %"
76561198009992783,"1001,24",16900,"50,00 %"
76561198029825981,"201,92",169,"50,00 %"
76561198078987650,"99,96",289,"50,00 %"
76561198080784853,"96,85",1225,"50,00 %"
76561198083902227,"9,99",64,"50,00 %"
76561198085355556,"94,94",169,"50,00 %"
76561198085734937,"344,70",1764,"50,00 %"
76561198086622542,"125,87",3600,"50,00 %"
76561198093283574,"78,96",64,"50,00 %"
76561198096032572,"29,98",64,"50,00 %"
76561198100529585,"99,94",169,"50,00 %"
76561198108069084,"64,96",225,"50,00 %"
76561198116589021,"54,96",324,"50,00 %"
76561198244813534,"142,92",169,"50,00 %"
hazixstar,"320,86",1369,"50,00 %"
pnktoud,"229,86",1444,"50,00 %"
porqueyu,"0,00",841,"50,00 %"
sirpeterson,"44,96",676,"50,00 %"
steamaccountforsale1,"0,00",25,"50,00 %"
to-your-left,"58,46",625,"50,00 %"
PuzziDestroyer,"36,95",625,"60,00 %"
76561197970972400,"548,59",3600,"66,67 %"
76561198002527794,"757,70",1849,"66,67 %"
76561198045627858,"19,99",225,"66,67 %"
76561198059841909,"19,99",4,"66,67 %"
76561198087135044,"84,96",121,"66,67 %"
76561198120646995,"306,84",3969,"66,67 %"
dpskipper,"284,88",256,"66,67 %"
IIPaperPlateII,"3,99",36,"66,67 %"
Jack_of_all_Trades,"469,85",961,"66,67 %"
mestoneheart,"566,65",4225,"66,67 %"
Rahulcoeg,"504,68",1936,"66,67 %"
zcan,"151,88",400,"66,67 %"
zile98,"234,90",324,"66,67 %"
76561198101480347,"254,30",1156,"71,43 %"
76561198101634865,"19,99",9,"75,00 %"
ButNae,"14,99",256,"75,00 %"
jiohigHfuyuCYgaupchg,"9,99",25,"75,00 %"
yoshi_bilby,"109,95",100,"75,00 %"
76561198236893796,"66,95",289,"80,00 %"
76561198081816341,"243,85",1764,"85,71 %"
76561198146431031,"74,96",196,"85,71 %"
IYITHEBOY,"711,64",5929,"88,89 %"
_Spanky_,"184,93",484,"100,00 %"
00810cccyyykkk,"19,98",49,"100,00 %"
0854029092,"19,99",25,"100,00 %"
09876543231,"185,86",625,"100,00 %"
1016523030,"0,00",36,"100,00 %"
10oyard,"209,88",400,"100,00 %"
112asdasfasdasd,"0,00",529,"100,00 %"
